영업상태명,상세영업상태명,지번주소,도로명주소
영업/정상,정상영업,서울특별시 성북구 길음동 25번지 2호,
영업/정상,정상영업,서울특별시 성북구 길음동 25번지 2호,서울특별시 성북구  도봉로  17 (길음동)
영업/정상,정상영업,서울특별시 성북구 장위동 60번지 1호,
영업/정상,정상영업,서울특별시 성북구 종암동 132번지,서울특별시 성북구 종암로 132 (종암동 종암우림카이저팰리스)
영업/정상,정상영업,서울특별시 성북구 길음동 25번지 2호 신세계 이마트 미아점,서울특별시 성북구 도봉로 17 신세계 이마트 미아점 (길음동)
영업/정상,정상영업,서울특별시 성북구 길음2동 230번지 동일하이빌뉴시티아파트,서울특별시 성북구 종암로 167  동 (하월곡동)
영업/정상,정상영업,,서울특별시 성북구 성북로4길 52 (돈암동 한진아파트)
영업/정상,정상영업,서울특별시 성북구 돈암2동 636번지,서울특별시 성북구 북악산로 844 (돈암동 돈암이수브라운스톤아파트)
영업/정상,정상영업,서울특별시 성북구 길음1동 1284번지 삼성래미안3차아파트,서울특별시 성북구 길음로 33 (길음동 길음뉴타운8단지아파트)
영업/정상,정상영업,서울특별시 성북구 길음1동 1280번지 6호,서울특별시 성북구 길음로 103 (길음동)
영업/정상,정상영업,서울특별시 성북구 월곡1동 62번지 1호,
영업/정상,정상영업,서울특별시 성북구 동소문동5가 75번지,서울특별시 성북구 동소문로 98 (동소문동5가)
영업/정상,정상영업,,서울특별시 강북구 도봉로33길 18 (미아동)
영업/정상,정상영업,서울특별시 강북구 수유동 54번지 5호 수유시장,서울특별시 강북구 도봉로67길 18 수유시장 (수유동)
영업/정상,정상영업,서울특별시 강북구 수유동 32번지 2호 수유중앙시장,서울특별시 강북구 노해로17길 21 수유중앙시장 (수유동)
영업/정상,정상영업,서울특별시 강북구 번1동 413번지 3호,서울특별시 강북구 한천로123길 26 (번동)
영업/정상,정상영업,서울특별시 강북구 미아동 701번지 3호 동북프라자,서울특별시 강북구 솔샘로 233 동북프라자 (미아동)
영업/정상,정상영업,,서울특별시 강북구 노해로23길 68 (수유동)
영업/정상,정상영업,서울특별시 은평구 구산동 1번지 24호,서울특별시 은평구 서오릉로 145 (구산동)
영업/정상,정상영업,서울특별시 강북구 미아동 71번지 1호,서울특별시 강북구 도봉로 52 (미아동)
영업/정상,정상영업,서울특별시 영등포구 도림동 251번지 5호,서울특별시 영등포구 도신로 75 (도림동)
영업/정상,정상영업,서울특별시 강북구 수유동 63번지,서울특별시 강북구 도봉로 261 (수유동 삼호아파트수유프라자)
영업/정상,정상영업,서울특별시 강북구 수유동 63번지,서울특별시 강북구 도봉로 261 (수유동)
영업/정상,정상영업,서울특별시 강북구 미아동 58호,서울특별시 강북구 도봉로 45 (미아동)
영업/정상,정상영업,서울특별시 강북구 미아동 70번지 6   호,서울특별시 강북구 도봉로 62 (미아동)
영업/정상,정상영업,서울특별시 강북구 수유동 179번지 5호,서울특별시 강북구 한천로148길 12-43 (수유동)
영업/정상,정상영업,서울특별시 강북구 수유동 405번지 5호,서울특별시 강북구 삼양로91길 11-12 (수유동)
영업/정상,정상영업,서울특별시 강북구 송중동,서울특별시 강북구 도봉로 34 (미아동)
영업/정상,정상영업,서울특별시 강북구 수유3동 179번지 5호,서울특별시 강북구 한천로148길 12-43 (수유동)
영업/정상,정상영업,서울특별시 강북구 번1동 413번지 3호,서울특별시 강북구 한천로123길 26 (번동)
영업/정상,정상영업,서울특별시 강북구 미아동 1357번지 6호,서울특별시 강북구 삼양로27길 35-21 (미아동)
영업/정상,정상영업,서울특별시 강북구 미아동 1359번지,서울특별시 강북구 삼양로 247 (미아동)
영업/정상,정상영업,서울특별시 강북구 수유1동 54번지 5호,서울특별시 강북구 도봉로67길 18 (수유동)
영업/정상,정상영업,서울특별시 강북구 미아동 1351번지,서울특별시 강북구 도봉로 157 112호 (미아동 두원프라자)
영업/정상,정상영업,서울특별시 도봉구 쌍문동 711번지 금강아미움파크타운,서울특별시 도봉구 방학로5길 33 금강아미움파크타운 (쌍문동 금강아미움파크타운)
영업/정상,정상영업,서울특별시 도봉구 도봉동 657번지,서울특별시 도봉구 마들로 724 (도봉동)
영업/정상,정상영업,서울특별시 도봉구 방학동 271번지 2호,서울특별시 도봉구 방학로 223 (방학동)
영업/정상,정상영업,서울특별시 성북구 장위동 68-225,서울특별시 성북구 장월로12길 41-1 장위전통시장 상인회 (장위동)
영업/정상,정상영업,서울특별시 도봉구 도봉동 30번지 1호 도봉한신쇼핑상가,서울특별시 도봉구 도봉로180나길 41 (도봉동)
영업/정상,정상영업,서울특별시 도봉구 창동 804번지,서울특별시 도봉구 덕릉로63가길 61 (창동)
영업/정상,정상영업,서울특별시 도봉구 창2동 628번지 20호,서울특별시 도봉구 도봉로104길 53 (창동)
영업/정상,정상영업,서울특별시 도봉구 쌍문2동 19번지,서울특별시 도봉구 도당로 10 (쌍문동)
영업/정상,정상영업,서울특별시 도봉구 창1동 651번지 36호,서울특별시 도봉구 도봉로110길 65 (창동)
영업/정상,정상영업,서울특별시 도봉구 창동 581번지 28호,서울특별시 도봉구 덕릉로57길 30 (창동)
영업/정상,정상영업,서울특별시 도봉구 창동 135번지 26호,서울특별시 도봉구 노해로65길 4 (창동)
영업/정상,정상영업,서울특별시 도봉구 창2동 628번지 20호,서울특별시 도봉구 도봉로104길 53 (창동)
영업/정상,정상영업,서울특별시 도봉구 방학3동 271번지 2호,서울특별시 도봉구 방학로 223 (방학동)
영업/정상,정상영업,서울특별시 노원구 월계3동 18번지 그랑빌아파트주상가 지층동 101호,서울특별시 노원구 마들로 31 (월계동)
영업/정상,정상영업,서울특별시 노원구 하계동 284번지 2호,서울특별시 노원구 한글비석로 57 (하계동 세이브존)
영업/정상,정상영업,서울특별시 도봉구 창동 628번지 20호,서울특별시 도봉구 도봉로104길 53 (창동)
영업/정상,정상영업,서울특별시 도봉구 방학동 707번지 7호,서울특별시 도봉구 도봉로 678 (방학동)
영업/정상,정상영업,서울특별시 성북구 보문동7가 25번지 1호,서울특별시 성북구 보문로 61 (보문동7가)
영업/정상,정상영업,서울특별시 노원구 월계동 333번지 1호,서울특별시 노원구 마들로3길 15 (월계동 월계이마트)
영업/정상,정상영업,서울특별시 노원구 중계동 517호,서울특별시 노원구 노원로 330 (중계동 롯데마트)
영업/정상,정상영업,서울특별시 노원구 상계동 292번지 1호,서울특별시 노원구 노해로 507 (상계동)
영업/정상,정상영업,서울특별시 노원구 중계동 506번지 1   호,
영업/정상,정상영업,서울특별시 노원구 상계동 1318번지,서울특별시 노원구 상계로23다길 13-8 (상계동)
영업/정상,정상영업,서울특별시 노원구 상계동 684번지,서울특별시 노원구 한글비석로 471 (상계동)
영업/정상,정상영업,서울특별시 노원구 공릉동 238번지 53호,서울특별시 노원구 공릉로 144 (공릉동 공릉빌딩)
영업/정상,정상영업,서울특별시 노원구 중계동 364번지 17호 유경데파트,서울특별시 노원구 한글비석로 232 (중계동 유경데파트)
